I ^vm+i0+00++++_indicat_+i+
otros ^d3mp+ind++++!!+_quant_+otro+
muchos ^d0mp+ind++++!!+_quant_+mucho+
le ^p3cs+per+++++_3pro_+„©l+
imitaron ^vm+is+3p++++_indicat_preter_+imitar+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
se ^p3cn+per++psv+++_sepsvagntlss_+„©l+
produjo ^vm+is+3s++++_indicat_preter_+producir+
una ^lfs+ind+++++_indefart_+un+
furiosa ^jfs++++++_preadj_+furioso+
algarab√≠a ^nfs+com+++++_singn_+algarab„≠a+
. ^punc+sent+.++++++
De ^en++++++_1wrdprep_+de+
pronto ^r+++++!!+_rbtime_+pronto+
se ^p3cn+per++mtz++++„©l+
abri√≥ ^vm+is+3s++++_indicat_preter_+abrir+
una ^lfs+ind+++++_indefart_+un+
puertecilla ^nfs+com+++++_singn_+puertecilla+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
fondo ^nms+com+++++_singn_+fondo+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
tribuna ^nfs+com++++!!+_singn_+tribuna+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
apareci√≥ ^vm+is+3s++++_indicat_preter_+aparecer+
un ^lms+ind+++++_indefart_+un+
se√±or ^nms+com++++!!+_singn_+se„±or+
viejo ^jms+++++!!+_postadj_timej_+viejo+
, ^punc++,++++++
muy ^r++++++_rbother_+muy+
empaquetado ^vm+ps+0s+++++empaquetar+
, ^punc++,++++++
seguido ^vm+ps+0s+++++seguir+
de ^en++++++_1wrdprep_+de+
dos ^mcp+card++++!!++dos+
ayudantes ^nmp+com+++++_plurn_+ayudante+
j√≥venes ^jmp+++++!!+_postadj_timej_+joven+
. ^punc+sent+.++++++
Aquella ^d3fs+dem+++++_predem_+aquel+
aparici√≥n ^nfs+com+++++_singn_+aparici„≥n+
teatral ^jcs++++++_postadj_+teatral+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
profesor ^nms+com+++++_singn_+profesor+
y ^con+coor+++++_gensingcon_+y+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
ayudantes ^nmp+com+++++_plurn_+ayudante+
provoc√≥ ^vm+is+3s++++_indicat_preter_+provocar+
grandes ^jcp++++++_preadj_sizej_+grande+
murmullos ^nmp+com+++++_nodetnp_plurn_+murmullo+
; ^punc+sent+;++++++
alguno ^p3ms+ind++++!!++alguno+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
alumnos ^nmp+com+++++_plurn_+alumno+
m√°s ^r++++++_rbother_+m„°s+
atrevidos ^jmp+++++!!++atrevido+
comenz√≥ ^vm+is+3s++++_indicat_preter_+comenzar+
a ^vm"+is+3s+++++a+
aplaudir ^vm+n0+00++++_vinf_+aplaudir+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
viendo ^vm+pp+00++++_present_vment_+ver+
que ^que+vcomp++++!!+_vcompque_+que+
el ^lms+def+++++_defart_+el+
viejo ^jms+++++!!+_preadj_timej_+viejo+
catedr√°tico ^nms+com+++++_singn_+catedr„°tico+
, ^punc++,++++++
no ^r++++++_rbother_+no+
s√≥lo ^r++++++_rbother_+s„≥lo+
no ^r++++++_rbother_+no+
se ^p3cn+per++psv++++„©l+
incomodaba ^vm+ii+?s++++_indicat_imperf_+incomodar+
, ^punc++,++++++
sino ^con+sub+++++_mltwrdcon_+sino+
que ^con"+sub++++++que+
saludaba ^vm+ii+?s++++_indicat_imperf_+saludar+
como ^con+sub++++!!+_othsingcon_+como+
reconocido ^vm+ps+0s++++_vment_+reconocer+
, ^punc++,++++++
aplaudieron ^vm+is+3p++++_indicat_preter_+aplaudir+
a√∫n ^r+++++!!+_rbother_+a„∫n+
m√°s ^r++++++_rbother_+m„°s+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Esto ^p3cs+dem+++++_prodem_+esto+
es ^vm+ip+3s++++_indicat_present_mvser_vexist_+ser+
una ^lfs+ind+++++_indefart_+un+
ridiculez--dijo ^n+++++??+++
Hurtado ^n+prop++++??+_propn_+hurtado+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
A ^en++++++_1wrdprep_+a+
√©l ^p3ms+per+++++_3pro_+„©l+
no ^r++++++_rbother_+no+
le ^p3cs+per+++++_3pro_+„©l+
debe ^vm+ip+3s++++_indicat_present_othobligv_+deber+
parecer ^vm+n0+00+++!!+_vinf_vment_+parecer+
eso--replic√≥ ^n+++++??+_nodetnp_++
Aracil ^n+prop++++??+_propn_+aracil+
ri√©ndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_justse_clitic_++
; ^punc+sent+;++++++
- ^punc++-++++++
- ^punc++-++++++
pero ^con+coor+++++_gensingcon_+pero+
si ^con+sub+++++_othsingcon_condexsubconj_+si+
es ^vm+ip+3s++++_indicat_present_mvser_vexist_esjqueind_+ser+
tan ^r+++++!!+_rbother_+tan+
majadero ^jms+++++!!+_postadj_+majadero+
que ^que+rel++++!!+_indquerel_relproque_+que+
le ^p3cs+per+++++_3pro_+„©l+
gusta ^vm+ip+3s++++_indicat_present_vdes_+gustar+
que ^que+vcomp++++!!+_vcompque_+que+
le ^p3cs+per+++++_3pro_+„©l+
aplaudan ^vm+++++??+++
, ^punc++,++++++
le ^p3cs+per+++++_3pro_+„©l+
aplaudiremos ^vm+++++??+++
. ^punc+sent+.++++++
El ^lms+def+++++_defart_+el+
profesor ^nms+com+++++_singn_+profesor+
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
un ^lms+ind+++++_indefart_+un+
pobre ^n00+++++!!++pobre+
hombre ^nms+com++++!!+_nodetnp_singn_+hombre+
presuntuoso ^jms+++++!!+_postadj_+presuntuoso+
, ^punc++,++++++
rid√≠culo ^nms+com++++!!+_nodetnp_singn_+rid„≠culo+
. ^punc+sent+.++++++
Hab√≠a ^va+ii+?s++++_indicat_imperf_perfect_+haber+
estudiado ^vm+ps+0s+++++estudiar+
en ^en++++++_1wrdprep_+en+
Par√≠s ^n+prop+++++_propn_+par„≠s+
y ^con+coor+++++_gensingcon_+y+
adquirido ^vm+ps+0s+++++adquirir+
los ^lmp+def+++++_defart_+el+
gestos ^nmp+com+++++_plurn_+gesto+
y ^con+coor+++++_gensingcon_+y+
las ^lfp+def+++++_defart_+la+
posturas ^nfp+com+++++_plurn_+postura+
amaneradas ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
franc√©s ^nms+com++++!!+_singn_+franc„©s+
petulante ^jcs+++++!!+_postadj_+petulante+
. ^punc+sent+.++++++
El ^lms+def+++++_defart_+el+
buen ^jms++++++_preadj_evalj_+buen+
se√±or ^nms+com++++!!+_singn_+se„±or+
comenz√≥ ^vm+is+3s++++_indicat_preter_+comenzar+
un ^lms+ind+++++_indefart_+un+
discurso ^nms+com+++++_singn_+discurso+
de ^en++++++_1wrdprep_+de+
salutaci√≥n ^nfs+com+++++_nodetnp_singn_+salutaci„≥n+
a ^en++++++_1wrdprep_+a+
sus ^d3cp+pos+++++_prepos_+su+
alumnos ^nmp+com+++++_plurn_+alumno+
, ^punc++,++++++
muy ^r++++++_rbother_+muy+
enf√°tico ^jms+++++++enf„°tico+
y ^con+coor+++++_gensingcon_+y+
altisonante ^jcs+++++++altisonante+
, ^punc++,++++++
con ^en++++++_1wrdprep_+con+
algunos ^d3mp+ind++++!!+_quant_+alguno+
toques ^nmp+com++++!!+_plurn_+toque+
sentimentales ^jcp++++++_postadj_+sentimental+
: ^punc+sent+:++++++
les ^p3cp+per+++++_3pro_+„©l+
habl√≥ ^vm+is+3s++++_indicat_preter_vcommun_+hablar+
de ^en++++++_1wrdprep_+de+
su ^d3cs+pos+++++_prepos_+su+
maestro ^n00+++++!!++maestro+
Liebig ^n+prop++++??+_propn_+liebig+
, ^punc++,++++++
de ^en++++++_1wrdprep_+de+
su ^d3cs+pos+++++_prepos_+su+
amigo ^jms+++++!!+_preadj_+amigo+
Pasteur ^n+prop+++++_propn_+pasteur+
, ^punc++,++++++
de ^en++++++_1wrdprep_+de+
su ^d3cs+pos+++++_prepos_+su+
camarada ^nfs+com+++++_singn_+camarada+
Berthelot ^n+prop++++??+_propn_+berthelot+
, ^punc++,++++++
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
Ciencia ^n+prop++++!!+_propn_+ciencia+
, ^punc++,++++++
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
microscopio ^nms+com+++++_singn_+microscopio+
. ^punc+sent+.++++++
. ^punc+sent+.++++++
. ^punc+sent+.++++++
Su ^d3cs+pos+++++_prepos_+su+
melena ^nfs+com+++++_singn_+melena+
blanca ^jfs++++++_postadj_colorj_+blanco+
, ^punc++,++++++
su ^d3cs+pos+++++_prepos_+su+
bigote ^nms+com+++++_singn_+bigote+
engomado ^n+++++??+_nodetnp_++
, ^punc++,++++++
su ^d3cs+pos+++++_prepos_+su+
perilla ^nfs+com+++++_singn_+perilla+
puntiaguda ^jfs++++++_postadj_+puntiagudo+
, ^punc++,++++++
que ^que+rel++++!!+_indquerel_relproque_+que+
le ^p3cs+per+++++_3pro_+„©l+
temblaba ^vm+ii+?s++++_indicat_imperf_+temblar+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
hablar ^vm+n0+00++++_infnoun_vcommun_+hablar+
, ^punc++,++++++
su ^d3cs+pos+++++_prepos_+su+
voz ^nfs+com+++++_singn_+voz+
hueca ^jfs++++++_postadj_+hueco+
y ^con+coor+++++_gensingcon_+y+
solemne ^jcs+++++++solemne+
le ^p3cs+per+++++_3pro_+„©l+
daban ^vm+ii+3p++++_indicat_imperf_+dar+
el ^lms+def+++++_defart_+el+
aspecto ^nms+com+++++_singn_+aspecto+
de ^en++++++_1wrdprep_+de+
un ^lms+ind+++++_indefart_+un+
padre ^nms+com+++++_singn_+padre+
severo ^jms++++++_postadj_+severo+
de ^en++++++_1wrdprep_+de+
drama ^nms+com+++++_nodetnp_singn_+drama+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
alguno ^p3ms+ind++++!!++alguno+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
que ^que+rel++++!!+_indquerel_relproque_+que+
encontr√≥ ^vm+is+3s++++_indicat_preter_vment_+encontrar+
este ^d3ms+dem++++!!+_predem_+este+
parecido ^vm+ps+0s++++_vment_+parecer+
, ^punc++,++++++
recit√≥ ^vm+is+3s++++_indicat_preter_+recitar+
en ^en++++++_1wrdprep_+en+
voz ^nfs+com+++++_nodetnp_singn_+voz+
alta ^jfs++++++_postadj_sizej_+alto+
y ^con+coor+++++_gensingcon_+y+
cavernosa ^jfs+++++++cavernoso+
los ^lmp+def+++++_defart_+el+
versos ^nmp+com++++!!+_plurn_+verso+
de ^en++++++_1wrdprep_+de+
Don ^d0ms+++++++don+
Diego ^n+prop++++!!+_propn_+diego+
Tenorio ^n+prop++++!!+_propn_+tenorio+
, ^punc++,++++++
cuando ^con+sub++++!!+_othsingcon_+cuando+
entra ^vm+ip+3s++++_indicat_present_+entrar+
en ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
Hoster√≠a ^n+prop++++??+_propn_+hoster„≠a+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Laurel ^n+prop+++++_propn_+laurel+
en ^en++++++_1wrdprep_+en+
el ^lms+def+++++_defart_+el+
drama ^nms+com+++++_singn_+drama+
de ^en++++++_1wrdprep_+de+
Zorrilla ^n+prop+++++_propn_+zorrilla+
: ^punc+sent+:++++++
Que ^que+rel++++!!+_subjquerel_relproque_+que+
un ^lms+ind+++++_indefart_+un+
hombre ^nms+com++++!!+_singn_+hombre+
de ^en++++++_1wrdprep_+de+
mi ^d1cs+pos+++++_prepos_+mi+
linaje ^nms+com+++++_singn_derivn_+linaje+
descienda ^vm+sp+?s++++_subjun_present_+descender+
a ^en++++++_1wrdprep_+a+
tan ^r+++++!!+_rbother_+tan+
ruin ^jcs++++++_preadj_+ruin+
mansi√≥n ^nfs+com+++++_nodetnp_singn_+mansi„≥n+
. ^punc+sent+.++++++
Los ^p3mp+rel++++++el+
que ^p3mp"+rel+++++_indquehdlss_+que+
estaban ^vm+ii+3p++++_indicat_imperf_mvestar_vexist_+estar+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
lado ^nms+com+++++_singn_+lado+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
recitador ^nms+com+++++_singn_derivn_+recitador+
irrespetuoso ^jms++++++_postadj_+irrespetuoso+
se ^p3cn+per++mtz++++„©l+
echaron ^vm+is+3p++++_indicat_preter_+echar+
a ^vm"+is+3p+++++a+
reir ^v+++++??+++
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
dem√°s ^jcp+++++!!+_preadj_+dem„°s+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
miraron ^vm+is+3p++++_indicat_preter_vment_+mirar+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
grupo ^nms+com+++++_singn_+grupo+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
alborotadores ^nmp+com+++++_plurn_derivn_+alborotador+
. ^punc+sent+.++++++
Qu√© ^p3cn+int++++!!++qu„©+
es ^vm+ip+3s++++_indicat_present_mvser_vexist_+ser+
eso ^p3cs+dem+++++_prodem_+eso+
? ^punc+sent+?++++_ynquest_++
Qu√© ^p3cn+int++++!!++qu„©+
pasa?--dijo ^n+++++??+_nodetnp_++
el ^lms+def+++++_defart_+el+
profesor ^nms+com+++++_singn_+profesor+
poni√©ndo ^vm+++++??+++
se ^p3cn+per++++clt+_justse_clitic_++
los ^lmp+def+++++_defart_+el+
lentes ^nfp+com+++++_plurn_+lente+
y ^con+coor+++++_gensingcon_+y+
acerc√°ndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_justse_clitic_++
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
barandado ^n+++++??+++
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
tribuna ^nfs+com++++!!+_singn_+tribuna+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Es ^vm+ip+3s++++_indicat_present_mvser_vexist_+ser+
que ^que+vcomp++++!!+_vcompque_indvcompque_+que+
alguno ^p3ms+ind++++!!++alguno+
ha ^va+ip+3s++++_indicat_present_perfect_+haber+
perdido ^vm+ps+0s+++++perder+
la ^lfs+def+++++_defart_+la+
herradura ^nfs+com+++++_singn_+herradura+
por ^en++++++_1wrdprep_+por+
ah√≠ ^r++++++_rbother_+ah„≠+
? ^punc+sent+?++++_ynquest_++
Yo ^p1cs+per+++++_1pro_+yo+
suplico ^vm+ip+1s++++_indicat_present_+suplicar+
a ^en++++++_1wrdprep_+a+
los ^p3mp+rel++++++el+
que ^p3mp"+rel+++++_indothelque_+que+
est√°n ^vm+ip+3p++++_indicat_present_mvestar_vexist_+estar+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
lado ^nms+com+++++_singn_+lado+
de ^en++++++_1wrdprep_+de+
ese ^d3ms+dem++++!!+_predem_+ese+
asno ^nms+com+++++_singn_+asno+
, ^punc++,++++++
que ^que+rel++++!!+_relproque_+que+
rebuzna ^vm+++++??+++
con ^en++++++_1wrdprep_+con+
tal ^d0cs+dem+++++_predem_+tal+
perfecci√≥n ^nfs+com+++++_singn_+perfecci„≥n+
que ^que+rel++++!!+_subjquerel_relproque_+que+
se ^p3cn+per++psv++++„©l+
alejen ^vm+sp+3p++++_subjun_present_+alejar+
de ^en++++++_1wrdprep_+de+
√©l ^p3ms+per+++++_3pro_+„©l+
, ^punc++,++++++
porque ^con+sub+++++_othsingcon_caussubconj_+porque+
sus ^d3cp+pos+++++_prepos_+su+
coces ^nfp+com+++++_plurn_+coz+
deben ^vm+ip+3p++++_indicat_present_othobligv_+deber+
ser ^vm+n0+00+++!!+_vinf_mvser_vexist_+ser+
mortales ^ncp+com++++!!+_nodetnp_plurn_+mortal+
de ^en++++++_1wrdprep_+de+
necesidad ^nfs+com+++++_nodetnp_singn_derivn_+necesidad+
. ^punc+sent+.++++++
Rieron ^vm+is+3p++++_indicat_preter_+re„≠r+
los ^lmp+def+++++_defart_+el+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
con ^en++++++_1wrdprep_+con+
gran ^jcs++++++_preadj_+gran+
entusiasmo ^nms+com+++++_nodetnp_singn_+entusiasmo+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
profesor ^nms+com+++++_singn_+profesor+
di√≥ ^n+++++??+_nodetnp_++
por ^en++++++_1wrdprep_+por+
terminada ^vm+ps+0s+++++terminar+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
retir√°ndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_justse_clitic_++
haciendo ^vm+pp+00++++_present_vfacil_+hacer+
un ^lms+ind+++++_indefart_+un+
saludo ^nms+com++++!!+_singn_+saludo+
ceremonioso ^jms++++++_postadj_+ceremonioso+
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
chicos ^nmp+com++++!!+_plurn_+chico+
aplaudieron ^vm+is+3p++++_indicat_preter_+aplaudir+
a ^en++++++_1wrdprep_+a+
rabiar ^v+++++??+_novinf_++
. ^punc+sent+.++++++
Sali√≥ ^vm+is+3s++++_indicat_preter_+salir+
Andr√©s ^n+prop+++++_propn_+andr„©s+
Hurtado ^n+prop++++??+_propn_+hurtado+
con ^en++++++_1wrdprep_+con+
Aracil ^n+prop++++??+_propn_+aracil+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
dos ^mcp+card++++!!++dos+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
compa√±√≠a ^nfs+com+++++_nodetnp_singn_+compa„±„≠a+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
joven ^nms+com++++!!+_singn_+joven+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
barba ^nms+com+++++_singn_+barba+
rubia ^jfs+++++!!+_postadj_+rubio+
, ^punc++,++++++
que ^que+rel++++!!+_indquerel_relproque_+que+
se ^p3cn+per++psv+++_sepsvagntlss_+„©l+
llamaba ^vm+ii+?s++++_indicat_imperf_+llamar+
Montaner ^n+prop++++??+_propn_+montaner+
, ^punc++,++++++
se ^p3cn+per++psv++++„©l+
encaminaron ^vm+is+3p++++_indicat_preter_+encaminar+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
Universidad ^n+prop++++!!+_derivn_propn_+universidad+
Central ^jcs+++++!!+_postadj_relatj_+central+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
donde ^p000+rel++++!!++donde+
daban ^vm+ii+3p++++_indicat_imperf_+dar+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
de ^en++++++_1wrdprep_+de+
Zoolog√≠a ^n+prop++++!!+_propn_+zoolog„≠a+
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_lode_defart_+la+
de ^en++++++_1wrdprep_+de+
Bot√°nica ^n+prop++++!!+_propn_+bot„°nica+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
esta ^d3fs+dem++++!!+_predem_+este+
√∫ltima ^p3fs+++++!!++„∫ltimo+
los ^lmp+def+++++_defart_+el+
estudiantes ^ncp+com++++!!+_plurn_+estudiante+
intentaron ^vm+is+3p++++_indicat_preter_vfacil_+intentar+
repetir ^vm+n0+00++++_vinf_+repetir+
el ^lms+def+++++_defart_+el+
esc√°ndalo ^nms+com+++++_singn_+esc„°ndalo+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
de ^en++++++_1wrdprep_+de+
Qu√≠mica ^n+prop++++!!+_propn_+qu„≠mica+
; ^punc+sent+;++++++
pero ^con+coor+++++_gensingcon_+pero+
el ^lms+def+++++_defart_+el+
profesor ^nms+com+++++_singn_+profesor+
, ^punc++,++++++
un ^lms+ind+++++_indefart_+un+
viejecillo ^nms+com+++++_singn_+viejecillo+
seco ^jms+++++!!+_postadj_+seco+
y ^con+coor+++++_gensingcon_+y+
malhumorado ^vm+ps+0s+++!!++malhumorar+
, ^punc++,++++++
les ^p3cp+per++mtz+++_3pro_+„©l+
sali√≥ ^vm+is+3s++++_indicat_preter_+salir+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
encuentro ^nms+com++++!!+_singn_+encuentro+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
les ^p3cp+per+++++_3pro_+„©l+
dijo ^vm+is+3s++++_indicat_preter_vcommun_+decir+
que ^que+vcomp++++!!+_vcompque_indvcompque_+que+
de ^en++++++_1wrdprep_+de+
√©l ^p3ms+per+++++_3pro_+„©l+
no ^r++++++_rbother_+no+
se ^p3cn+per++mtz++++„©l+
re√≠a ^vm+ii+3s++++_indicat_imperf_+re„≠r+
nadie ^p3cs+ind++++++nadie+
, ^punc++,++++++
ni ^con+coor+++++_othsingcon_+ni+
nadie ^p3cs+ind++++++nadie+
le ^p3cs+per+++++_3pro_+„©l+
aplaud√≠a ^vm+ii+?s++++_indicat_imperf_+aplaudir+
como ^con+sub++++!!+_othsingcon_+como+
si ^con+sub+++++_othsingcon_condexsubconj_+si+
fuera ^vm+si+?s+++!!+_subjun_imperf_mvser_vexist_+ser+
un ^lms+ind+++++_indefart_+un+
histri√≥n ^nms+com+++++_singn_+histri„≥n+
. ^punc+sent+.++++++
De ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
Universidad ^n+prop++++!!+_derivn_propn_+universidad+
, ^punc++,++++++
Montaner ^n+prop++++??+_propn_+montaner+
, ^punc++,++++++
Aracil ^n+prop++++??+_propn_+aracil+
y ^con+coor+++++_gensingcon_+y+
Hurtado ^n+prop++++??+_propn_+hurtado+
marcharon ^vm+is+3p++++_indicat_preter_+marchar+
hacia ^en++++++_1wrdprep_+hacia+
el ^lms+def+++++_defart_+el+
centro ^nms+com+++++_singn_+centro+
. ^punc+sent+.++++++
Andr√©s ^n00++++++_nodetnp_+andr„©s+
experimentaba ^vm+ii+?s++++_indicat_imperf_+experimentar+
por ^en++++++_1wrdprep_+por+
Julio ^n+prop++++!!+_propn_+julio+
Aracil ^n+prop++++??+_propn_+aracil+
bastante ^r+++++!!+_rbother_+bastante+
antipat√≠a ^nfs+com+++++_nodetnp_singn_+antipat„≠a+
, ^punc++,++++++
aunque ^con+sub+++++_othsingcon_concsubconj_+aunque+
en ^en++++++_1wrdprep_+en+
algunas ^d3fp+ind++++!!+_quant_+alg„∫n+
cosas ^nfp+com+++++_plurn_+cosa+
le ^p3cs+per+++++_3pro_+„©l+
reconoc√≠a ^vm+ii+?s++++_indicat_imperf_vment_+reconocer+
cierta ^jfs++++++_preadj_+cierto+
superioridad ^nfs+com+++++_nodetnp_singn_derivn_+superioridad+
; ^punc+sent+;++++++
pero ^con+coor+++++_gensingcon_+pero+
sinti√≥ ^vm+is+3s++++_indicat_preter_+sentir+
a√∫n ^r+++++!!+_rbother_+a„∫n+
mayor ^jcs+++++!!+_postadj_preadj_timej_+mayor+
aversi√≥n ^nfs+com+++++_nodetnp_singn_+aversi„≥n+
por ^en++++++_1wrdprep_+por+
Montaner ^n+prop++++??+_propn_+montaner+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
primeras ^mfp+ord++++++primero+
palabras ^nfp+com+++++_plurn_+palabra+
entre ^en++++++_1wrdprep_+entre+
Montaner ^n+prop++++??+_propn_+montaner+
y ^con+coor+++++_gensingcon_+y+
Hurtado ^n+prop++++??+_propn_+hurtado+
fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
poco ^p3ms+ind++++!!++poco+
amables ^jcp+++++++amable+
. ^punc+sent+.++++++
Montaner ^r+++++??+_rbother_++
hablaba ^vm+ii+?s++++_indicat_imperf_vcommun_+hablar+
con ^en++++++_1wrdprep_+con+
una ^lfs+ind+++++_indefart_+un+
seguridad ^nfs+com+++++_singn_derivn_+seguridad+
de ^en++++++_1wrdprep_+de+
todo ^d3ms+ind++++!!+_quant_+todo+
algo ^p0cn+ind++++!!++algo+
ofensiva ^jfs+++++!!++ofensivo+
; ^punc+sent+;++++++
se ^p3cn+per++mtz++++„©l+
cre√≠a ^vm+ii+?s++++_indicat_imperf_vment_+creer+
, ^punc++,++++++
sin ^en++++++_1wrdprep_+sin+
duda ^nfs+com++++!!+_nodetnp_singn_+duda+
, ^punc++,++++++
un ^lms+ind+++++_indefart_+un+
hombre ^nms+com++++!!+_singn_+hombre+
de ^en++++++_1wrdprep_+de+
mundo ^nms+com+++++_nodetnp_singn_+mundo+
. ^punc+sent+.++++++
Hurtado ^n+++++??+_nodetnp_++
le ^p3cs+per+++++_3pro_+„©l+
replic√≥ ^vm+is+3s++++_indicat_preter_+replicar+
varias ^d3fp+ind+++++_quant_+varias+
veces ^nfp+com+++++_plurn_+vez+
bruscamente ^r++++++_rbmente_+bruscamente+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
dos ^mcp+card++++!!++dos+
condisc√≠pulos ^nmp+com+++++_plurn_+condisc„≠pulo+
se ^p3cn+per++mtz++++„©l+
encontraron ^vm+is+3p++++_indicat_preter_vment_+encontrar+
en ^en++++++_1wrdprep_+en+
esta ^d3fs+dem++++!!+_predem_+este+
primera ^mfs+ord++++!!++primero+
conversaci√≥n ^nfs+com+++++_singn_+conversaci„≥n+
completamente ^r++++++_rbmente_+completamente+
en ^en++++++_1wrdprep_+en+
desacuerdo ^nms+com+++++_nodetnp_singn_+desacuerdo+
. ^punc+sent+.++++++
Hurtado ^n+++++??+_nodetnp_++
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
republicano ^jms+++++!!+_predadj_+republicano+
, ^punc++,++++++
Montaner ^n+prop++++??+_propn_+montaner+
defensor ^nms+com+++++_nodetnp_singn_+defensor+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
familia ^nfs+com+++++_singn_+familia+
real ^jcs+++++!!+_postadj_+real+
; ^punc+sent+;++++++
Hurtado ^n+prop++++??+_propn_+hurtado+
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
enemigo ^nms+com++++!!+_nodetnp_singn_+enemigo+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
burgues√≠a ^nfs+com+++++_singn_+burgues„≠a+
, ^punc++,++++++
Montaner ^n+prop++++??+_propn_+montaner+
partidario ^jms+++++!!+_postadj_+partidario+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
clase ^nfs+com+++++_singn_+clase+
rica ^jfs+++++!!+_postadj_+rico+
y ^con+coor+++++_gensingcon_+y+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
aristocracia ^nfs+com+++++_singn_+aristocracia+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Dejad ^vm+++++??+++
esas ^d3fp+dem++++!!+_predem_+ese+
cosas--dijo ^n+++++??+++
varias ^d3fp+ind+++++_quant_+varias+
veces ^nfp+com+++++_plurn_+vez+
Julio ^n+prop++++!!+_propn_+julio+
Aracil ^n+prop++++??+_propn_+aracil+
; ^punc+sent+;++++++
- ^punc++-++++++
