>>Filename:written_encyc_art_Arte y arquitectura africanas.txt
>>Mode:written
>>Register:encyclopedia
>>End header
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
formas ^nfp+com+++++_plurn_+forma+
artísticas ^jfp++++++_postadj_+artístico+
tradicionales ^jcp+++++++tradicional+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
una ^lfs+ind+++++_indefart_+un+
cultura ^nfs+com++++!!+_singn_+cultura+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
estimulación ^n00+com+++++_derivn_+estimulación+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
creatividad ^nfs+com+++++_singn_derivn_+creatividad+
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_defart_+la+
innovación ^nfs+com+++++_singn_derivn_+innovación+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
los ^lmp+def+++++_defart_+el+
parámetros ^nmp+com+++++_plurn_+parámetro+
de ^en++++++_1wrdprep_+de+
cada ^d0cs+ind+++++_quant_+cada+
tradición ^nfs+com+++++_singn_derivn_+tradición+
artística ^jfs++++++_postadj_+artístico+
. ^punc+sent+.++++++
B ^n00+++++!!+_nodetnp_+b+
. ^punc+sent+.++++++
Artistas ^jcp+++++!!++artista+
Los ^lmp+def+++++_defart_+el+
artistas ^ncp+com++++!!+_plurn_+artista+
africanos ^jmp+++++!!+_postadj_+africano+
trabajan ^vm+ip+3p++++_indicat_present_+trabajar+
generalmente ^r++++++_rbmente_+generalmente+
como ^con+sub++++!!+_othsingcon_+como+
especialistas ^ncp+com++++!!+_nodetnp_plurn_+especialista+
, ^punc++,++++++
recibiendo ^vm+pp+00++++_present_+recibir+
su ^d3cs+pos+++++_prepos_+su+
instrucción ^nfs+com++++!!+_singn_derivn_+instrucción+
y ^con+coor+++++_gensingcon_+y+
enseñanzas ^nfp+com+++++_nodetnp_plurn_derivn_+enseñanza+
de ^en++++++_1wrdprep_+de+
otros ^d3mp+ind++++!!+_quant_+otro+
artistas ^ncp+com++++!!+_plurn_+artista+
ya ^r+++++!!+_rbtime_+ya+
consolidados ^jmp+++++++consolidado+
que ^que+relat++++!!+_relproque_+que+
viven ^vm+ip+3p++++_indicat_present_+vivir+
en ^en++++++_1wrdprep_+en+
sus ^d3cp+pos+++++_prepos_+su+
mismas ^d0fp+++++!!++mismo+
comunidades ^nfp+com+++++_plurn_derivn_+comunidad+
o ^con+coor+++++_gensingcon_+o+
áreas ^nfp+com+++++_nodetnp_plurn_+área+
culturales ^jcp++++++_postadj_+cultural+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
ciertos ^jmp++++++_preadj_+cierto+
reinos ^nmp+com+++++_nodetnp_plurn_+reino+
antiguos ^jmp+++++!!+_postadj_+antiguo+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
el ^lms+def+++++_lode_defart_+el+
de ^en++++++_1wrdprep_+de+
Benín ^n+prop++++??+_propn_+benín+
en ^en++++++_1wrdprep_+en+
Nigeria ^n+prop+++++_propn_+nigeria+
, ^punc++,++++++
la ^lfs+def+++++_defart_+la+
formación ^nfs+com+++++_singn_derivn_+formación+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
jóvenes ^nmp+com++++!!+_plurn_+joven+
artistas ^jcp+++++!!+_postadj_+artista+
era ^va+ii+?s++++_vexist_+ser+
controlada ^vm+ps+0s+psv+por++_preter_serpsvpor_+controlar+
por ^en++++++_1wrdprep_+por+
importantes ^jcp+++++++importante+
y ^con+coor+++++_gensingcon_+y+
activos ^jmp+++++!!+_preadj_+activo+
gremios ^nmp+com+++++_nodetnp_plurn_+gremio+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
cercanos ^jmp+++++++cercano+
yoruba ^j00+++++++yoruba+
se ^p3cn+per++mtz+++_3pro_mtzse_+él+
fueron ^va+is+3p+++!!++ir+
desarrollando ^vm+pp+00++++_present_+desarrollar+
escuelas ^nfp+com+++++_nodetnp_plurn_+escuela+
de ^en++++++_1wrdprep_+de+
artistas ^ncp+com++++!!+_nodetnp_plurn_+artista+
a ^en++++++_mltwrdprep_+a+
partir ^en"+++++++partir+
de ^en"+++++++de+
grupos ^nmp+com+++++_nodetnp_plurn_+grupo+
familiares ^jcp+++++!!+_postadj_preadj_+familiar+
locales ^nmp+com++++!!+_nodetnp_plurn_+local+
. ^punc+sent+.++++++
A ^r++++++_rbother_+a+
menudo ^r"+++++++menudo+
la ^lfs+def+++++_defart_+la+
profesión ^nfs+com+++++_singn_derivn_+profesión+
artística ^jfs++++++_postadj_+artístico+
se ^p3cn+per++mtz+++_3pro_mtzse_+él+
vio ^vm+is+3s++++_indicat_preter_vment_+ver+
como ^con+sub++++!!+_othsingcon_+como+
algo ^p0cn+ind++++!!++algo+
hereditario ^jms+++++++hereditario+
, ^punc++,++++++
pasando ^vm+pp+00++++_present_voccur_+pasar+
el ^lms+def+++++_defart_+el+
talento ^nms+com+++++_singn_+talento+
de ^en++++++_1wrdprep_+de+
generación ^nfs+com+++++_nodetnp_singn_derivn_+generación+
en ^en++++++_1wrdprep_+en+
generación ^nfs+com+++++_nodetnp_singn_derivn_+generación+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
relacionando ^vm+++++??+++
muchas ^d0fp+ind++++!!+_quant_+mucho+
veces ^nfp+com+++++_plurn_+vez+
la ^lfs+def+++++_defart_+la+
creatividad ^nfs+com+++++_singn_derivn_+creatividad+
y ^con+coor+++++_gensingcon_+y+
el ^lms+def+++++_defart_+el+
éxito ^nms+com+++++_singn_+éxito+
a ^en++++++_1wrdprep_+a+
cualidades ^nfp+com+++++_nodetnp_plurn_derivn_+cualidad+
divinas ^jfp++++++_postadj_+divino+
heredadas ^vm+ps+0p+++!!+_preter_+heredar+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
ancestros ^nmp+com+++++_plurn_+ancestro+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
pueblos ^nmp+com+++++_plurn_+pueblo+
dogon ^n+++++??+_nodetnp_++
y ^con+coor+++++_gensingcon_+y+
bambara ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
Malí ^n+prop++++??+_propn_+malí+
, ^punc++,++++++
por ^en++++++_1wrdprep_+por+
este ^d3ms+dem++++!!+_predem_+este+
motivo ^nms+com++++!!+_singn_+motivo+
, ^punc++,++++++
todos ^d3mp+ind++++!!+_quant_+todo+
los ^lmp+def+++++_defart_+el+
escultores ^nmp+com+++++_plurn_+escultor+
fueron ^va+is+3p+++!!+_vexist_+ser+
seleccionados ^vm+ps+0p+psv++!!+_preter_serpsvagntlss_+seleccionar+
de ^en++++++_1wrdprep_+de+
entre ^en++++++_1wrdprep_+entre+
un ^lms+ind+++++_indefart_+un+
antiguo ^jms+++++!!+_preadj_+antiguo+
grupo ^nms+com+++++_singn_+grupo+
de ^en++++++_1wrdprep_+de+
herreros ^n00++++++_nodetnp_+herreros+
con ^en++++++_1wrdprep_+con+
costumbres ^nfp+com+++++_nodetnp_plurn_+costumbre+
endogámica ^n+++++??+_nodetnp_++
s ^n00++++++_nodetnp_+s+
( ^punc++(++++++
matrimonios ^nmp+com+++++_nodetnp_plurn_+matrimonio+
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
distintos ^jmp++++++_preadj_+distinto+
miembros ^nmp+com+++++_plurn_+miembro+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
familia ^nfs+com+++++_singn_+familia+
. ^punc+sent+.++++++
) ^punc++)++++++
El ^lms+def+++++_defart_+el+
lugar ^nms+com+++++_singn_+lugar+
de ^en++++++_1wrdprep_+de+
trabajo ^nms+com++++!!+_nodetnp_singn_+trabajo+
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
materiales ^nmp+com++++!!+_plurn_+material+
empleados ^vm+ps+0p+pstn++!!+_preter_+emplear+
fueron ^va+is+3p+++!!+_vexist_+ser+
también ^r++++++_rbother_+también+
elementos ^nmp+com+++++_nodetnp_plurn_derivn_+elemento+
importantes ^jcp++++++_postadj_+importante+
para ^en++++++_1wrdprep_+para+
el ^lms+def+++++_defart_+el+
artista ^ncs+com++++!!+_singn_+artista+
durante ^r++++++_rbother_+durante+
el ^lms+def+++++_defart_+el+
proceso ^nms+com+++++_singn_+proceso+
creador ^nms+com++++!!+_nodetnp_singn_derivn_+creador+
. ^punc+sent+.++++++
A ^r++++++_rbother_+a+
menudo ^r"+++++++menudo+
éstos ^p3mp+dem+++++_prodem_+éste+
fueron ^va+is+3p+++!!+_vexist_+ser+
controlados ^vm+ps+0p+psv+por++_preter_serpsvpor_+controlar+
por ^en++++++_1wrdprep_+por+
severas ^jfp+++++++severo+
medidas ^vm+ps+0p+++!!+_preter_+medir+
y ^con+coor+++++_gensingcon_+y+
prohibiciones ^nfp+com+++++_nodetnp_plurn_derivn_+prohibición+
de ^en++++++_1wrdprep_+de+
carácter ^nms+com+++++_nodetnp_singn_+carácter+
religioso ^jms+++++!!+_postadj_+religioso+
. ^punc+sent+.++++++
C ^vm+pp+00+++!!+_present_+c+
. ^punc+sent+.++++++
Estéticas ^jfp+++++++estético+
La ^lfs+def+++++_defart_+la+
crítica ^nfs+com++++!!+_singn_+crítica+
social ^jcs++++++_postadj_+social+
fue ^vm+is+3s+++!!+_indicat_preter_mvser_vexist_+ser+
parte ^nfs+com+++++_nodetnp_singn_+parte+
esencial ^jcs++++++_postadj_+esencial+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
tradición ^nfs+com+++++_singn_derivn_+tradición+
artística ^jfs++++++_postadj_+artístico+
de ^en++++++_1wrdprep_+de+
muchas ^d0fp+ind++++!!+_quant_+mucho+
culturas ^nfp+com+++++_plurn_+cultura+
africanas ^jfp++++++_postadj_+africano+
. ^punc+sent+.++++++
Estudios ^nmp+com+++++_nodetnp_plurn_+estudio+
estéticos ^jmp++++++_postadj_+estético+
llevados ^vm+ps+0p++++_preter_+llevar+
a ^en++++++_1wrdprep_+a+
cabo ^nms+com+++++_nodetnp_singn_+cabo+
por ^en++++++_1wrdprep_+por+
artistas ^ncp+com++++!!+_nodetnp_plurn_+artista+
y ^con+coor+++++_gensingcon_+y+
críticos ^nmp+com++++!!+_nodetnp_plurn_+crítico+
de ^en++++++_1wrdprep_+de+
África ^jfs+++++++áfrico+
señalan ^vm+ip+3p++++_indicat_present_vcommun_+señalar+
una ^lfs+ind+++++_indefart_+un+
deliberada ^jfs++++++_preadj_+deliberado+
preocupación ^nfs+com+++++_singn_derivn_+preocupación+
por ^en++++++_1wrdprep_+por+
la ^lfs+def+++++_defart_+la+
abstracción ^nfs+com+++++_singn_derivn_+abstracción+
. ^punc+sent+.++++++
Así ^r++++++_rbmannr_+así+
, ^punc++,++++++
por ^r++++++_rbother_+por+
ejemplo ^r"+++++++ejemplo+
, ^punc++,++++++
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
yoruba ^j00+++++++yoruba+
de ^en++++++_1wrdprep_+de+
Nigeria ^n+prop+++++_propn_+nigeria+
los ^lmp+def+++++_defart_+el+
cánones ^nmp+com+++++_plurn_+canon+
de ^en++++++_1wrdprep_+de+
belleza ^nfs+com+++++_nodetnp_singn_derivn_+belleza+
de ^en++++++_1wrdprep_+de+
una ^lfs+ind+++++_indefart_+un+
escultura ^nfs+com+++++_singn_+escultura+
descansan ^vm+ip+3p++++_indicat_present_+descansar+
sobre ^en++++++_1wrdprep_+sobre+
diversos ^jmp++++++_preadj_+diverso+
elementos ^nmp+com+++++_nodetnp_plurn_derivn_+elemento+
expresamente ^r++++++_rbmente_+expresamente+
no ^r++++++_rbother_+no+
figurativos ^vm+++++??+++
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
éstos ^p3mp+dem+++++_prodem_+éste+
están ^vm+ip+3p++++_indicat_present_mvestar_vexist_+estar+
: ^punc+sent+:++++++
la ^lfs+def+++++_defart_+la+
expresividad ^nfs+com+++++_singn_derivn_+expresividad+
, ^punc++,++++++
aun ^r++++++_rbother_+aun+
cuando ^con+sub++++!!+_othsingcon_+cuando+
para ^en++++++_1wrdprep_+para+
ello ^p30s+per+++++_3pro_+ello+
haya ^va+sp+?s+++!!+_haberque_+haber+
que ^va"+vcomp++++!!++que+
recurrir ^vm+n0+00+++++recurrir+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
distorsión ^nfs+com+++++_singn_derivn_+distorsión+
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
proporciones ^nfp+com+++++_plurn_derivn_+proporción+
; ^punc+sent+;++++++
la ^lfs+def+++++_defart_+la+
pureza ^nfs+com+++++_singn_derivn_+pureza+
, ^punc++,++++++
que ^que+relat++++!!+_relproque_+que+
implica ^vm+ip+3s++++_indicat_present_+implicar+
juventud ^nfs+com+++++_nodetnp_singn_derivn_+juventud+
y ^con+coor+++++_gensingcon_+y+
buena ^jfs++++++_preadj_+buen+
salud ^nfs+com+++++_nodetnp_singn_+salud+
; ^punc+sent+;++++++
la ^lfs+def+++++_defart_+la+
simetría ^nfs+com+++++_singn_+simetría+
, ^punc++,++++++
con ^en++++++_1wrdprep_+con+
exclusión ^nfs+com+++++_nodetnp_singn_derivn_+exclusión+
de ^en++++++_1wrdprep_+de+
actitudes ^nfp+com+++++_nodetnp_plurn_derivn_+actitud+
o ^con+coor+++++_gensingcon_+o+
posturas ^nfp+com+++++_nodetnp_plurn_+postura+
más ^r++++++_rbother_+más+
naturales ^jcp+++++!!++natural+
; ^punc+sent+;++++++
el ^lms+def+++++_defart_+el+
aspecto ^nms+com+++++_singn_+aspecto+
efébico ^n+++++??+_nodetnp_++
, ^punc++,++++++
que ^que+relat++++!!+_relproque_+que+
es ^vm+ip+3s++++_indicat_present_mvser_vexist_+ser+
la ^lfs+def+++++_defart_+la+
representación ^nfs+com+++++_singn_derivn_+representación+
idealizada ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
cada ^d0cs+ind+++++_quant_+cada+
personaje ^nms+com+++++_singn_derivn_+personaje+
en ^en++++++_1wrdprep_+en+
su ^d3cs+pos+++++_prepos_+su+
edad ^nfs+com+++++_singn_derivn_+edad+
juvenil ^jcs++++++_postadj_+juvenil+
; ^punc+sent+;++++++
la ^lfs+def+++++_defart_+la+
tersura ^nfs+com+++++_singn_+tersura+
, ^punc++,++++++
sugiriendo ^vm+pp+00++++_present_+sugerir+
de ^en++++++_1wrdprep_+de+
nuevo ^jms+++++++nuevo+
la ^lfs+def+++++_defart_+la+
idea ^nfs+com+++++_singn_+idea+
de ^en++++++_1wrdprep_+de+
lo ^p3ms+per++++!!+_3pro_loadj_+él+
joven ^jms++lo+++!!++joven+
y ^con+coor+++++_gensingcon_+y+
sano ^jms+++++++sano+
, ^punc++,++++++
carente ^jcs+++++++carente+
de ^en++++++_1wrdprep_+de+
imperfecciones ^nfp+com+++++_nodetnp_plurn_derivn_+imperfección+
físicas ^jfp++++++_postadj_+físico+
; ^punc+sent+;++++++
y ^con+coor+++++_gensingcon_+y+
la ^lfs+def+++++_defart_+la+
hipermimesis ^n+++++??+++
, ^punc++,++++++
enfatizando ^n+++++??+_nodetnp_++
los ^lmp+def+++++_defart_+el+
caracteres ^n00+com++++!!++caracteres+
generales ^jcp+++++!!+_postadj_+general+
más ^r++++++_rbother_+más+
que ^que+vcomp++++!!+_vcompque_+que+
las ^lfp+def+++++_defart_+la+
representaciones ^nfp+com+++++_plurn_derivn_+representación+
fidedignas ^jfp++++++_postadj_+fidedigno+
y ^con+coor+++++_gensingcon_+y+
exactas ^jfp+++++++exacto+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
realidad ^nfs+com+++++_singn_derivn_+realidad+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
algunas ^d3fp+ind++++!!+_quant_+algún+
culturas ^nfp+com+++++_plurn_+cultura+
africanas ^jfp++++++_postadj_+africano+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
aceptaron ^vm+is+3p++++_indicat_preter_vment_+aceptar+
modelos ^nmp+com++++!!+_nodetnp_plurn_+modelo+
estéticos ^jmp++++++_postadj_+estético+
intencionadamente ^r++++++_rbmente_+intencionadamente+
distorsionados ^vm+ps+0p++++_preter_+distorsionar+
para ^en++++++_1wrdprep_+para+
retratar ^vm+n0+00+++++retratar+
personajes ^nmp+com+++++_nodetnp_plurn_derivn_+personaje+
de ^en++++++_1wrdprep_+de+
conducta ^nfs+com+++++_nodetnp_singn_+conducta+
antisocial ^jcs++++++_postadj_+antisocial+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
ibo ^n+++++??+++
e ^con+coor+++++_gensingcon_+e+
ibibio ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
Nigeria ^n+prop+++++_propn_+nigeria+
, ^punc++,++++++
por ^r++++++_rbother_+por+
ejemplo ^r"+++++++ejemplo+
, ^punc++,++++++
hicieron ^vm+is+3p++++_indicat_preter_vfacil_+hacer+
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
imitando ^vm+pp+00++++_present_+imitar+
horrendos ^jmp+++++++horrendo+
y ^con+coor+++++_gensingcon_+y+
morbosos ^vm+++++??+++
monstruos ^nmp+com++++!!+_nodetnp_plurn_+monstruo+
de ^en++++++_1wrdprep_+de+
facciones ^nfp+com+++++_nodetnp_plurn_derivn_+facción+
asimétricas ^jfp++++++_postadj_+asimétrico+
para ^en++++++_1wrdprep_+para+
representar ^vm+n0+00+++++representar+
con ^en++++++_1wrdprep_+con+
ellas ^p3fp+per+++++_3pro_+ella+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
individuos ^jmp+++++!!+_preadj_+individuo+
revoltosos ^nmp+com+++++_plurn_+revoltoso+
, ^punc++,++++++
malos ^jmp+++++!!++malo+
o ^con+coor+++++_gensingcon_+o+
peligrosos ^jmp+++++++peligroso+
. ^punc+sent+.++++++
Estas ^d3fp+dem++++!!+_predem_+este+
máscaras ^nfp+com+++++_plurn_+máscara+
solían ^vm+ii+3p++++_indicat_imperf_vaspect_+soler+
comparar ^vm+n0+00++++_vinf_+comparar+
se ^p3cn+per++psv++clt+_3pro_clitic_sepsvagntlss_++
frecuentemente ^r++++++_rbmente_+frecuentemente+
con ^en++++++_1wrdprep_+con+
otras ^d3fp+ind++++!!+_quant_+otro+
de ^en++++++_1wrdprep_+de+
mayor ^jcs+++++!!+_preadj_+mayor+
belleza ^nfs+com+++++_nodetnp_singn_derivn_+belleza+
y ^con+coor+++++_gensingcon_+y+
factura ^nfs+com+++++_nodetnp_singn_+factura+
estética ^jfs+++++!!+_postadj_+estético+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
las ^p3fp+rel++++++la+
que ^p3fp"+rel++++++que+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
retrataba ^vm+ii+?s++++_indicat_imperf_+retratar+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
personajes ^nmp+com+++++_plurn_derivn_+personaje+
disciplinados ^jmp+++++!!+_postadj_+disciplinado+
, ^punc++,++++++
buenos ^jmp+++++++buen+
o ^con+coor+++++_gensingcon_+o+
pacíficos ^jmp+++++++pacífico+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
tribu ^n00+com++++!!++tribu+
. ^punc+sent+.++++++
D ^n+++++??+_nodetnp_++
. ^punc+sent+.++++++
Mecenazgo ^nms+com+++++_nodetnp_singn_+mecenazgo+
El ^lms+def+++++_defart_+el+
mecenazgo ^nms+com+++++_singn_+mecenazgo+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
los ^lmp+def+++++_defart_+el+
condicionamientos ^nmp+com+++++_plurn_derivn_+condicionamiento+
estéticos ^jmp++++++_postadj_+estético+
, ^punc++,++++++
desempeña ^vm+ip+3s++++_indicat_present_+desempeñar+
un ^lms+ind+++++_indefart_+un+
destacado ^vm+ps+0s++++_preter_vcommun_+destacar+
papel ^nms+com+++++_nodetnp_singn_+papel+
en ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
creación ^nfs+com+++++_singn_derivn_+creación+
de ^en++++++_1wrdprep_+de+
arte ^nms+com+++++_nodetnp_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
reyes ^nmp+com++++!!+_plurn_+rey+
y ^con+coor+++++_gensingcon_+y+
cortesanos ^nmp+com++++!!+_nodetnp_plurn_+cortesano+
tienen ^vm+ip+3p++++_indicat_present_+tener+
particular ^jcs+++++!!+_preadj_+particular+
importancia ^nfs+com+++++_nodetnp_singn_derivn_+importancia+
a ^en++++++_1wrdprep_+a+
este ^d3ms+dem++++!!+_predem_+este+
respecto ^nms+com++++!!+_singn_+respecto+
por ^en++++++_1wrdprep_+por+
sus ^d3cp+pos+++++_prepos_+su+
continuos ^jmp+++++!!+_preadj_+continuo+
encargos ^nmp+com+++++_plurn_+encargo+
artísticos ^jmp++++++_postadj_+artístico+
para ^en++++++_1wrdprep_+para+
el ^lms+def+++++_defart_+el+
montaje ^nms+com+++++_singn_derivn_+montaje+
de ^en++++++_1wrdprep_+de+
representaciones ^nfp+com+++++_nodetnp_plurn_derivn_+representación+
públicas ^jfp++++++_postadj_+público+
, ^punc++,++++++
ceremonias ^nfp+com+++++_nodetnp_plurn_+ceremonia+
religiosas ^jfp++++++_postadj_+religioso+
y ^con+coor+++++_gensingcon_+y+
exposiciones ^nfp+com+++++_nodetnp_plurn_derivn_+exposición+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
arquitectura ^nfs+com+++++_nodetnp_singn_+arquitectura+
, ^punc++,++++++
los ^lmp+def+++++_defart_+el+
palacios ^nmp+com+++++_plurn_+palacio+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
reyes ^nmp+com++++!!+_plurn_+rey+
que ^que+relat++++!!+_relproque_+que+
habitaron ^vm+++++??+++
en ^en++++++_1wrdprep_+en+
Nigeria ^n+prop+++++_propn_+nigeria+
( ^punc++(++++++
yoruba ^j00+++++++yoruba+
, ^punc++,++++++
Benín ^n+prop++++??+_propn_+benín+
, ^punc++,++++++
) ^punc++)++++++
Ghana ^n+prop+++++_propn_+ghana+
( ^punc++(++++++
akan ^n+++++??+_nodetnp_++
, ^punc++,++++++
) ^punc++)++++++
Camerún ^n+prop+++++_propn_+camerún+
( ^punc++(++++++
bamileke ^n+++++??+_nodetnp_++
, ^punc++,++++++
bamum ^n+++++??+_nodetnp_++
) ^punc++)++++++
y ^con+coor+++++_gensingcon_+y+
Zaire ^n+prop+++++_propn_+zaire+
( ^punc++(++++++
quba ^n+++++??+_nodetnp_++
, ^punc++,++++++
mangbetu ^n+++++??+_nodetnp_++
) ^punc++)++++++
se ^p3cn+per++mtz+++_3pro_mtzse_+él+
encuentran ^vm+ip+3p++++_indicat_present_vment_+encontrar+
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
más ^r++++++_rbother_+más+
bellos ^jmp+++++++bello+
y ^con+coor+++++_gensingcon_+y+
ricamente ^r++++++_rbmente_+ricamente+
decorados ^vm+ps+0p+++!!+_preter_+decorar+
de ^en++++++_1wrdprep_+de+
toda ^d3fs+ind+++++_quant_+todo+
África ^jfs+++++++áfrico+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
costosos ^jmp++++++_preadj_+costoso+
materiales ^nmp+com++++!!+_plurn_+material+
puestos ^vm+ps+0p+pstn++!!+_preter_+poner+
a ^en++++++_1wrdprep_+a+
disposición ^nfs+com+++++_nodetnp_singn_derivn_+disposición+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
gobernantes ^jcp+++++!!++gobernante+
( ^punc++(++++++
marfil ^nms+com+++++_nodetnp_singn_+marfil+
, ^punc++,++++++
bronce ^nms+com+++++_nodetnp_singn_+bronce+
, ^punc++,++++++
oro ^jms+++++!!++oro+
, ^punc++,++++++
abalorios ^nmp+com+++++_nodetnp_plurn_+abalorio+
y ^con+coor+++++_gensingcon_+y+
terciopelo ^nms+com+++++_nodetnp_singn_+terciopelo+
) ^punc++)++++++
tienen ^vm+ip+3p++++_indicat_present_+tener+
una ^lfs+ind+++++_indefart_+un+
amplia ^jfs++++++_preadj_+amplio+
difusión ^nfs+com+++++_singn_derivn_+difusión+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
artes ^ncp+com+++++_plurn_+arte+
promocionadas ^n+++++??+_nodetnp_++
por ^en++++++_1wrdprep_+por+
estas ^d3fp+dem++++!!+_predem_+este+
cortes ^nmp+com++++!!+_plurn_+corte+
reales ^jcp+++++!!+_postadj_+real+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
objetos ^nmp+com+++++_plurn_+objeto+
artísticos ^jmp++++++_postadj_+artístico+
encargados ^vm+ps+0p+++!!+_preter_+encargar+
por ^en++++++_1wrdprep_+por+
la ^lfs+def+++++_defart_+la+
realeza ^nfs+com+++++_singn_derivn_+realeza+
se ^p3cn+per++mtz+++_3pro_mtzse_+él+
encuentran ^vm+ip+3p++++_indicat_present_vment_+encontrar+
los ^lmp+def+++++_defart_+el+
cetros ^n+++++??+++
, ^punc++,++++++
báculos ^n+++++??+_nodetnp_++
, ^punc++,++++++
tronos ^nmp+com+++++_nodetnp_plurn_+trono+
, ^punc++,++++++
espadas ^nfp+com+++++_nodetnp_plurn_+espada+
, ^punc++,++++++
coronas ^nfp+com+++++_nodetnp_plurn_+corona+
, ^punc++,++++++
esculturas ^nfp+com+++++_nodetnp_plurn_+escultura+
conmemorativas ^jfp++++++_postadj_+conmemorativo+
y ^con+coor+++++_gensingcon_+y+
vajillas ^nfp+com+++++_nodetnp_plurn_+vajilla+
. ^punc+sent+.++++++
Otra ^d3fs+ind++++!!+_quant_+otro+
fuente ^nfs+com+++++_singn_+fuente+
importante ^jcs++++++_postadj_+importante+
de ^en++++++_1wrdprep_+de+
mecenazgo ^nms+com+++++_nodetnp_singn_+mecenazgo+
para ^en++++++_1wrdprep_+para+
el ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
las ^lfp+def+++++_defart_+la+
numerosas ^jfp++++++_preadj_+numeroso+
asociaciones ^nfp+com+++++_plurn_derivn_+asociación+
de ^en++++++_1wrdprep_+de+
hombres ^nmp+com+++++_nodetnp_plurn_+hombre+
y ^con+coor+++++_gensingcon_+y+
mujeres ^nfp+com+++++_nodetnp_plurn_+mujer+
creadas ^vm+ps+0p+pstn+++_preter_+crear+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
las ^lfp+def+++++_defart_+la+
respectivas ^jfp++++++_preadj_+respectivo+
comunidades ^nfp+com+++++_plurn_derivn_+comunidad+
para ^en++++++_1wrdprep_+para+
controlar ^vm+n0+00+pstn++++controlar+
los ^lmp+def+++++_defart_+el+
asuntos ^nmp+com+++++_plurn_+asunto+
sociales ^jcp++++++_postadj_+social+
y ^con+coor+++++_gensingcon_+y+
políticos ^nmp+com++++!!+_nodetnp_plurn_+político+
, ^punc++,++++++
así ^r++++++_rbmannr_+así+
